DATE,BUDAPEST_cloud_cover,BUDAPEST_humidity,BUDAPEST_pressure,BUDAPEST_global_radiation,BUDAPEST_precipitation,BUDAPEST_sunshine,BUDAPEST_temp_max,BUDAPEST_temp_mean
20000101,3,0.92,1.0268,0.52,0.0,3.7,-0.7,-4.9
20000102,8,0.94,1.0297,0.14,0.0,0.4,-1.9,-3.6
20000103,6,0.95,1.0295,0.19,0.0,0.0,1.1,-0.8
20000104,8,0.94,1.0252,0.21,0.0,0.0,0.1,-1.0
20000105,5,0.88,1.0235,0.43,0.0,0.8,3.9,0.2
20000106,5,0.89,1.026,0.74,0.0,4.5,2.3,-0.9
20000107,8,1.0,1.0299,0.18,0.0,0.0,-2.1,-2.8
20000108,8,0.97,1.0302,0.23,0.0,0.0,-0.1,-1.2
20000109,8,0.95,1.0289,0.14,0.0,0.0,-0.7,-1.4
20000110,6,0.89,1.0323,0.27,0.0,0.9,3.0,0.0
20000111,7,0.86,1.0381,0.43,0.0,0.4,3.1,1.3
20000112,6,0.78,1.0378,0.22,0.0,4.3,3.8,0.3
20000113,8,0.95,1.0335,0.39,0.08,0.0,-2.4,-3.8
20000114,8,0.89,1.0291,0.3,0.0,0.0,-0.9,-1.7
20000115,7,0.89,1.0297,0.47,0.0,0.0,0.9,-0.7
20000116,5,0.78,1.0292,0.54,0.0,2.5,1.1,-1.0
20000117,6,0.79,1.0146,0.21,0.15,1.0,4.7,1.6
20000118,6,0.85,0.9999,0.41,0.26,0.5,5.7,2.1
20000119,4,0.75,1.0112,0.6,0.0,7.0,2.0,0.6
20000120,5,0.79,1.0221,0.63,0.75,3.7,1.6,-0.4
20000121,6,0.73,1.0076,0.37,0.05,1.6,4.3,0.9
20000122,6,0.63,1.0174,0.56,0.0,1.4,-1.2,-4.0
20000123,7,0.67,1.0112,0.34,0.0,0.1,-2.6,-3.5
20000124,2,0.44,1.0151,0.94,0.0,7.8,-2.2,-4.4
20000125,0,0.67,1.0264,0.88,0.0,8.1,-1.9,-6.5
20000126,7,0.61,1.0274,0.49,0.0,0.7,-3.0,-4.3
20000127,7,0.71,1.0265,0.35,0.0,0.2,2.7,1.2
20000128,2,0.55,1.0228,0.95,0.0,6.4,4.1,0.7
20000129,7,0.73,1.016,0.67,0.83,2.9,5.5,2.3
20000130,6,0.7,1.0077,0.56,0.6,3.9,8.4,6.3
20000131,6,0.74,1.0177,0.47,0.01,2.5,12.7,8.3
20000201,2,0.74,1.0244,0.88,0.0,5.8,14.0,9.6
20000202,5,0.81,1.0166,0.76,0.0,3.4,12.2,7.2
20000203,3,0.66,1.0207,0.63,0.01,5.9,10.6,7.1
20000204,1,0.58,1.035,1.09,0.0,8.8,6.2,4.1
20000205,5,0.76,1.0275,0.69,0.0,3.5,9.4,7.1
20000206,3,0.78,1.0261,0.92,0.0,5.6,14.6,9.2
20000207,8,0.98,1.0234,0.42,0.0,0.6,7.1,3.1
20000208,7,0.8,1.0161,0.76,0.38,1.9,12.3,7.8
20000209,7,0.72,1.0115,0.44,0.05,0.2,10.5,7.6
20000210,1,0.65,1.023,1.07,0.0,8.3,9.1,5.5
20000211,5,0.8,1.0259,0.76,0.0,3.2,7.6,3.5
20000212,8,0.76,1.0274,0.47,0.0,1.3,7.3,5.3
20000213,5,0.65,1.0219,0.76,0.03,5.3,9.5,6.5
20000214,3,0.71,1.0185,0.85,0.13,6.6,8.1,3.8
20000215,5,0.77,1.0205,0.87,0.08,3.0,4.3,1.9
20000216,8,0.85,1.011,0.35,0.99,0.2,5.8,3.3
20000217,6,0.77,1.0019,0.54,0.0,3.2,5.1,3.0
20000218,1,0.71,1.0102,1.3,0.0,8.9,5.1,2.0
20000219,7,0.8,1.0082,0.65,0.02,1.8,4.9,2.0
20000220,7,0.87,1.0129,0.38,0.0,1.0,5.7,3.0
20000221,4,0.67,1.022,0.75,0.0,3.9,4.2,1.4
20000222,2,0.63,1.0264,0.99,0.0,5.4,3.4,-0.1
20000223,6,0.74,1.0266,0.8,0.0,1.0,3.4,0.1
20000224,7,0.81,1.0283,0.61,0.0,0.8,4.3,1.9
20000225,7,0.69,1.0218,0.57,0.0,0.3,10.3,5.7
20000226,1,0.63,1.0289,1.4,0.0,9.2,10.7,4.8
20000227,1,0.58,1.0326,1.5,0.0,9.2,9.5,5.2
20000228,1,0.6,1.035,1.61,0.0,9.8,9.8,4.8
20000229,0,0.53,1.0266,1.58,0.0,9.2,12.1,5.9
20000301,8,0.66,1.0101,0.42,1.11,0.0,11.0,7.5
20000302,7,0.78,1.0101,0.48,0.35,0.7,8.4,5.4
20000303,4,0.62,1.0178,1.34,0.01,6.7,9.0,5.0
20000304,7,0.65,1.0114,0.67,0.0,1.0,8.7,5.6
20000305,4,0.64,1.0239,1.62,0.01,9.3,4.9,1.7
20000306,4,0.61,1.0315,1.19,0.0,7.4,6.6,3.2
20000307,1,0.47,1.0246,1.75,0.04,9.7,13.2,7.5
20000308,7,0.65,1.02,0.89,0.2,3.0,13.5,10.8
20000309,6,0.73,1.0122,0.57,0.78,1.7,16.8,12.6
20000310,2,0.57,1.0166,1.59,0.0,9.3,12.6,6.2
20000311,8,0.77,1.0181,0.36,0.4,0.0,5.6,3.1
20000312,3,0.66,1.0187,1.12,0.0,5.6,9.4,7.2
20000313,7,0.59,1.0284,0.93,0.0,2.0,7.5,4.8
20000314,7,0.62,1.0226,0.8,0.26,1.8,10.4,7.6
20000315,5,0.6,1.015,1.42,0.01,5.7,9.9,6.2
20000316,6,0.78,1.0166,0.58,0.56,1.9,4.0,1.4
20000317,6,0.77,1.0166,0.63,0.21,0.3,2.1,0.6
20000318,6,0.75,1.017,1.52,0.01,6.9,5.0,1.5
20000319,5,0.73,1.0213,0.99,0.02,1.4,5.4,1.7
20000320,6,0.6,1.0226,1.68,0.0,6.2,6.7,3.1
20000321,4,0.65,1.021,1.93,0.0,7.7,8.3,5.6
20000322,7,0.66,1.0209,1.22,0.0,3.3,14.1,9.8
20000323,2,0.59,1.0169,1.94,0.0,8.9,16.9,10.5
