DATE,DE_BILT_cloud_cover,DE_BILT_wind_speed,DE_BILT_wind_gust,DE_BILT_humidity,DE_BILT_pressure,DE_BILT_global_radiation,DE_BILT_precipitation,DE_BILT_sunshine,DE_BILT_temp_min,DE_BILT_temp_max,DE_BILT_temp_mean
20000101,7,2.5,8.0,0.97,1.024,0.11,0.1,0.0,3.5,8.1,6.1
20000102,8,3.7,9.0,0.97,1.0267,0.11,0.0,0.0,5.4,8.7,7.3
20000103,8,6.1,13.0,0.94,1.0203,0.11,0.45,0.0,6.4,9.6,8.4
20000104,7,3.8,15.0,0.94,1.0142,0.11,1.09,0.0,4.3,9.4,6.4
20000105,3,4.0,12.0,0.9,1.0183,0.48,0.0,6.5,1.4,7.4,4.4
20000106,6,5.2,11.0,0.91,1.0152,0.2,0.19,1.0,4.2,9.1,7.2
20000107,7,4.8,12.0,0.92,1.0199,0.12,0.0,0.0,4.3,7.4,6.1
20000108,6,4.3,12.0,0.94,1.0173,0.19,0.17,0.8,0.8,8.1,5.4
20000109,1,1.5,7.0,0.94,1.0257,0.46,0.0,5.7,-2.6,7.0,0.8
20000110,3,1.8,5.0,0.97,1.0357,0.47,0.0,5.8,-4.0,4.3,-0.8
20000111,6,4.0,8.0,0.87,1.0352,0.33,0.0,2.9,-1.2,4.4,2.1
20000112,5,5.4,12.0,0.85,1.0276,0.53,0.0,6.7,-0.6,2.6,0.7
20000113,7,4.2,10.0,0.83,1.0173,0.23,0.0,1.3,-0.9,3.6,2.0
20000114,8,2.0,5.0,0.98,1.0215,0.13,0.0,0.0,1.5,4.0,2.9
20000115,7,2.7,7.0,0.9,1.0351,0.36,0.0,3.3,2.0,5.4,3.2
20000116,8,2.6,9.0,0.95,1.0358,0.13,0.03,0.0,2.7,6.9,5.4
20000117,7,4.7,13.0,0.93,1.0305,0.19,0.01,0.5,4.8,7.5,6.4
20000118,7,6.2,16.0,0.84,1.0269,0.27,0.03,1.6,4.1,8.6,6.6
20000119,7,2.9,9.0,0.87,1.0321,0.14,0.01,0.0,1.3,5.6,3.9
20000120,7,3.8,11.0,0.87,1.0293,0.14,0.15,0.0,3.6,6.1,5.2
20000121,6,3.7,12.0,0.87,1.0257,0.3,0.01,1.9,2.3,7.8,5.2
20000122,6,4.0,14.0,0.9,1.0115,0.29,0.53,1.7,3.0,6.1,4.7
20000123,6,3.3,11.0,0.85,1.0188,0.24,0.0,0.9,-4.0,4.4,1.1
20000124,3,1.7,6.0,0.76,1.0254,0.66,0.0,7.7,-7.7,0.9,-2.8
20000125,5,3.1,9.0,0.83,1.0283,0.4,0.0,3.1,-1.4,2.8,0.5
20000126,7,3.3,7.0,0.89,1.0313,0.5,0.0,4.5,-1.1,5.5,2.4
20000127,7,5.4,11.0,0.86,1.027,0.16,0.0,0.0,0.5,3.8,2.4
20000128,7,7.1,18.0,0.86,1.0135,0.16,0.03,0.0,-0.4,5.9,3.2
20000129,8,9.4,21.0,0.87,0.9961,0.16,0.95,0.0,5.5,11.3,9.0
20000130,7,6.3,18.0,0.82,1.0098,0.18,0.01,0.1,7.2,10.3,9.1
20000131,8,7.3,20.0,0.87,1.0184,0.17,0.36,0.0,8.7,10.8,9.7
20000201,8,6.9,15.0,0.82,1.0163,0.26,0.14,0.7,7.6,10.2,9.0
20000202,4,4.7,12.0,0.87,1.0171,0.54,0.74,4.4,6.0,9.0,7.4
20000203,5,3.8,11.0,0.85,1.0308,0.43,0.0,2.7,3.4,9.1,6.4
20000204,8,6.4,14.0,0.91,1.0308,0.18,0.23,0.0,5.6,9.2,7.6
20000205,5,4.9,11.0,0.75,1.0272,0.77,0.0,7.5,6.1,11.8,8.4
20000206,8,4.6,11.0,0.88,1.0183,0.19,0.06,0.0,5.4,8.9,7.6
20000207,7,6.8,17.0,0.87,1.0106,0.52,0.69,3.5,6.3,9.4,7.9
20000208,5,7.3,16.0,0.79,1.0035,0.27,0.63,0.5,6.3,11.9,8.6
20000209,6,6.3,17.0,0.73,1.0183,0.35,0.0,1.3,4.9,8.5,6.5
20000210,5,5.8,16.0,0.82,1.0163,0.38,0.95,1.5,3.5,8.2,5.8
20000211,1,3.9,10.0,0.83,1.0267,0.86,0.0,7.7,0.5,8.9,4.6
20000212,4,5.8,16.0,0.86,1.0183,0.53,0.41,3.1,2.1,6.9,4.5
20000213,4,4.3,15.0,0.82,1.0175,0.77,0.0,6.1,1.5,8.3,5.2
