DATE,HEATHROW_cloud_cover,HEATHROW_humidity,HEATHROW_pressure,HEATHROW_global_radiation,HEATHROW_precipitation,HEATHROW_sunshine,HEATHROW_temp_min,HEATHROW_temp_max,HEATHROW_temp_mean
20000101,7,0.94,1.0245,0.18,0.0,0.4,4.9,10.8,7.0
20000102,7,0.89,1.0253,0.2,0.02,0.7,5.0,11.5,7.9
20000103,8,0.91,1.0186,0.13,0.6,0.0,7.2,9.5,9.4
20000104,5,0.89,1.0148,0.34,0.02,2.9,4.4,11.0,7.0
20000105,5,0.85,1.0142,0.25,0.08,1.3,1.9,10.8,6.4
20000106,6,0.84,1.0127,0.2,0.0,0.6,7.0,11.0,8.9
20000107,6,0.82,1.0172,0.31,0.2,2.2,3.4,9.2,7.2
20000108,4,0.81,1.0165,0.52,0.0,6.4,5.7,7.2,7.4
20000109,0,0.84,1.0276,0.55,0.02,7.1,-0.7,7.8,3.2
20000110,5,0.86,1.0347,0.4,0.0,3.7,-3.3,10.2,2.2
20000111,7,0.85,1.0324,0.16,0.0,0.1,0.6,8.2,5.4
20000112,7,0.81,1.0234,0.14,0.28,0.0,7.8,5.0,8.0
20000113,7,0.87,1.0154,0.14,0.02,0.0,2.7,6.3,3.8
20000114,6,0.86,1.0233,0.45,0.03,4.2,-0.5,6.7,2.9
20000115,6,0.86,1.0364,0.25,0.0,0.9,2.6,7.2,4.6
20000116,6,0.83,1.0405,0.44,0.0,3.9,2.2,8.6,4.7
20000117,5,0.91,1.0379,0.44,0.0,3.8,0.3,8.4,4.4
20000118,6,0.88,1.0354,0.15,0.02,0.0,1.2,7.3,4.8
20000119,6,0.83,1.037,0.24,0.0,0.6,3.6,5.3,5.4
20000120,6,0.9,1.0349,0.16,0.0,0.0,-2.2,9.2,1.6
20000121,5,0.8,1.0328,0.59,0.02,6.2,0.7,7.8,5.0
20000122,5,0.75,1.0207,0.36,0.12,2.1,2.6,7.3,5.2
20000123,5,0.75,1.0242,0.57,0.0,5.4,0.8,5.8,4.0
20000124,5,0.8,1.0254,0.61,0.0,6.0,0.4,3.7,3.1
20000125,6,0.91,1.0294,0.28,0.0,0.8,-2.7,6.1,0.5
20000126,3,0.85,1.0327,0.68,0.0,7.2,0.2,5.2,3.2
20000127,0,0.84,1.0297,0.74,0.0,8.1,-3.5,10.8,0.8
20000128,7,0.82,1.0148,0.2,0.22,0.1,-1.8,13.5,4.5
20000129,7,0.82,1.0003,0.49,0.0,3.3,3.4,12.9,8.4
20000130,7,0.77,1.0129,0.24,0.0,0.3,10.4,12.7,11.6
20000131,7,0.77,1.0201,0.25,0.0,0.3,10.3,10.7,11.5
20000201,8,0.85,1.0152,0.19,0.98,0.0,9.1,10.6,9.9
20000202,4,0.75,1.0211,0.74,0.0,6.9,5.8,9.3,8.2
20000203,7,0.85,1.0332,0.28,0.0,0.5,2.7,11.0,6.0
20000204,7,0.86,1.0319,0.2,0.0,0.0,4.7,11.6,7.8
20000205,7,0.8,1.0263,0.42,0.0,1.8,7.3,12.1,9.4
20000206,8,0.88,1.0159,0.24,0.18,0.1,7.2,11.0,9.6
20000207,6,0.81,1.0104,0.21,0.38,0.0,5.0,13.8,8.0
20000208,5,0.73,1.0061,0.59,0.22,3.6,7.0,10.6,10.4
20000209,5,0.68,1.0222,0.52,0.06,2.6,2.9,10.1,6.8
20000210,5,0.71,1.0155,0.48,0.3,2.0,5.9,10.4,8.0
20000211,3,0.76,1.0272,0.8,0.38,6.2,-0.1,9.6,5.2
20000212,6,0.75,1.0178,0.61,0.08,3.4,3.2,9.9,6.4
20000213,3,0.69,1.0202,0.97,0.0,8.5,4.8,10.2,7.4
20000214,5,0.9,1.0195,0.43,0.18,1.2,-1.1,8.6,4.6
20000215,6,0.82,1.0132,0.53,0.12,2.2,2.3,8.0,5.4
20000216,3,0.68,1.0043,0.97,0.0,7.8,1.4,9.6,4.7
20000217,6,0.71,1.0105,0.94,0.22,7.2,2.3,11.0,6.0
20000218,6,0.77,1.0028,0.68,0.02,3.5,3.1,9.1,7.0
20000219,5,0.74,1.0153,0.82,0.02,5.2,6.1,8.7,7.6
20000220,4,0.77,1.0296,1.05,0.06,8.2,-1.0,10.0,3.8
20000221,6,0.76,1.0266,0.9,0.0,5.9,1.5,9.5,5.8
20000222,6,0.78,1.0238,0.73,0.0,3.7,-0.3,11.7,4.6
20000223,8,0.89,1.0205,0.32,0.0,0.1,3.9,11.2,7.8
20000224,8,0.79,1.0204,0.54,1.68,1.5,7.6,10.0,9.4
20000225,2,0.75,1.0275,1.21,0.0,9.3,2.2,10.6,6.1
20000226,6,0.74,1.0287,1.01,0.0,6.4,-0.3,13.0,5.2
20000227,8,0.8,1.0156,0.31,0.52,0.0,4.2,10.4,8.6
20000228,5,0.75,1.0098,0.88,0.26,4.6,6.8,10.1,8.6
20000229,7,0.85,1.0008,0.35,0.56,0.1,5.5,9.3,7.8
20000301,3,0.69,1.0099,1.21,0.02,6.9,1.6,11.2,5.4
20000302,7,0.79,1.0164,0.4,0.72,0.1,0.3,10.8,5.8
20000303,6,0.71,1.0074,1.15,0.02,5.9,5.2,7.8,8.0
20000304,3,0.6,1.0271,1.45,0.0,9.1,0.8,10.4,4.3
20000305,6,0.69,1.0322,1.19,0.0,6.0,-0.3,11.5,5.0
20000306,8,0.8,1.0267,0.38,0.0,0.0,4.9,13.8,8.2
20000307,7,0.79,1.0236,0.76,0.0,2.0,8.2,14.6,11.0
20000308,7,0.81,1.0225,0.39,0.0,0.0,10.3,16.6,12.4
20000309,7,0.73,1.0254,0.93,0.0,3.1,11.2,14.2,13.9
20000310,7,0.78,1.0265,0.89,0.0,2.7,10.8,13.6,12.5
20000311,7,0.69,1.0224,1.25,0.0,5.7,7.4,14.5,10.5
20000312,5,0.72,1.0264,1.58,0.0,8.9,2.9,15.0,8.7
20000313,6,0.79,1.0263,0.67,0.0,1.0,4.9,13.0,10.0
20000314,7,0.68,1.0248,0.87,0.0,2.2,8.5,12.7,10.8
