DATE,MALMO_wind_speed,MALMO_precipitation,MALMO_temp_min,MALMO_temp_max,MALMO_temp_mean
20000101,2.5,0.27,0.9,3.6,2.9
20000102,3.8,0.0,1.0,5.4,3.7
20000103,4.3,0.06,4.0,6.9,5.6
20000104,3.9,0.75,3.0,6.4,4.5
20000105,3.2,0.03,2.5,5.5,3.8
20000106,4.6,0.17,2.5,5.4,4.1
20000107,3.2,0.0,1.6,6.2,3.8
20000108,4.3,0.0,4.2,5.4,4.7
20000109,2.9,0.0,1.9,5.0,2.9
20000110,3.0,0.0,1.6,4.9,2.5
20000111,4.8,0.07,1.2,3.3,2.8
20000112,5.1,0.0,2.8,3.9,3.2
20000113,2.8,0.0,0.6,3.1,1.4
20000114,0.6,0.0,-0.7,0.7,-0.4
20000115,1.8,0.0,-0.7,2.5,0.8
20000116,3.3,0.0,-1.0,6.1,3.7
20000117,6.5,0.0,5.5,9.0,7.0
20000118,6.4,0.0,3.5,7.1,4.3
20000119,4.2,0.0,0.1,4.0,1.6
20000120,4.6,0.26,0.2,5.7,3.8
20000121,3.5,0.0,-5.1,4.8,-2.4
20000122,1.8,0.03,-8.2,-2.0,-5.7
20000123,1.0,0.0,-10.7,-1.6,-6.6
20000124,1.3,0.0,-15.2,-1.3,-7.4
20000125,3.1,0.0,-2.8,2.3,0.9
20000126,4.8,0.0,0.2,5.0,2.9
20000127,5.8,0.06,3.8,5.0,4.3
20000128,5.6,0.4,3.2,4.4,3.7
20000129,7.8,0.5,2.6,6.8,4.5
20000130,9.0,0.6,2.3,5.5,3.8
20000131,6.6,0.06,-0.1,7.3,4.3
20000201,4.6,0.23,1.5,6.2,4.6
20000202,6.3,0.09,2.7,6.0,4.0
20000203,6.5,0.0,0.6,4.4,2.3
20000204,5.6,0.13,-0.8,6.7,4.4
20000205,5.3,0.0,6.5,9.2,7.8
20000206,3.6,0.17,4.9,7.1,5.7
20000207,5.3,0.17,4.8,7.3,5.8
20000208,5.1,0.41,4.5,6.3,5.5
20000209,5.6,0.02,3.4,5.3,3.9
20000210,5.0,0.26,1.3,6.3,4.4
20000211,4.5,0.0,3.1,5.9,4.5
20000212,5.3,0.24,3.2,5.5,4.3
20000213,5.7,0.0,1.3,5.1,2.8
20000214,5.2,0.3,-0.1,4.1,1.7
20000215,3.7,0.05,-0.5,6.8,3.5
20000216,2.4,0.24,1.7,4.1,2.6
20000217,2.2,0.0,0.5,3.3,1.3
20000218,3.2,0.0,-1.8,1.6,0.3
20000219,3.5,0.0,1.0,2.4,1.7
20000220,1.2,0.0,-0.9,3.6,1.0
20000221,0.9,0.0,-5.8,3.8,-1.6
20000222,1.2,0.0,-4.6,2.0,-1.5
20000223,1.5,0.0,-4.5,3.5,-0.9
20000224,4.5,0.43,-0.8,6.1,3.0
20000225,5.1,0.0,2.0,6.5,4.0
20000226,3.5,0.0,2.0,6.7,4.2
20000227,4.5,0.0,0.0,6.3,3.3
20000228,5.6,0.0,4.9,9.7,6.8
20000229,5.1,0.26,3.6,6.4,4.9
20000301,6.4,0.07,3.5,7.4,5.3
20000302,6.3,0.56,2.2,6.0,3.5
20000303,8.4,0.16,2.3,7.1,5.0
20000304,6.2,0.05,-1.1,4.8,1.7
20000305,4.9,0.07,0.1,3.2,1.3
20000306,6.8,0.42,0.3,6.1,4.0
20000307,3.8,1.33,3.0,7.4,4.9
20000308,4.8,0.36,2.6,8.6,5.5
20000309,5.8,0.0,2.2,7.6,3.9
20000310,3.5,0.23,0.3,4.3,2.3
20000311,3.6,1.1,0.1,2.1,0.7
20000312,1.5,0.11,-3.8,3.3,0.7
20000313,3.4,0.05,1.6,7.1,4.7
20000314,4.6,0.2,4.2,7.1,5.2
20000315,5.4,0.0,2.4,5.3,3.5
20000316,3.1,0.03,0.9,5.5,2.9
20000317,2.8,0.0,-0.7,5.8,2.4
20000318,1.5,0.0,-2.4,6.6,2.7
20000319,1.9,0.0,-1.9,9.8,4.3
20000320,4.2,0.0,3.8,11.9,7.6
20000321,3.8,0.0,4.2,13.1,7.6
20000322,2.6,0.0,4.7,8.5,5.8
20000323,2.8,0.0,3.1,7.6,4.7
20000324,2.2,0.0,-4.1,7.5,2.1
20000325,3.1,0.13,-0.1,4.1,3.2
20000326,3.7,0.1,3.3,4.8,4.0
20000327,4.6,0.79,1.1,5.3,2.8
20000328,6.1,0.05,-0.3,5.6,2.4
20000329,4.2,0.0,-1.6,7.8,3.1
20000330,3.8,0.0,1.0,9.5,4.5
20000331,1.3,0.0,-1.2,10.4,4.7
20000401,2.5,0.0,2.9,8.6,5.5
20000402,1.4,0.0,3.1,10.4,5.8
20000403,4.3,0.0,0.2,11.8,5.8
20000404,2.5,0.7,5.9,9.2,7.0
20000405,5.8,0.0,1.9,8.2,3.2
20000406,3.6,0.0,-1.6,10.2,5.4
20000407,3.7,0.0,5.5,10.8,7.4
20000408,1.3,0.0,-2.7,10.3,4.1
20000409,1.6,0.0,-3.5,7.1,2.5
20000410,1.7,0.0,2.8,9.6,5.5
20000411,2.8,0.0,3.1,10.8,6.2
20000412,2.5,1.52,1.2,8.6,5.2
20000413,4.4,0.0,3.7,9.8,6.5
20000414,3.3,0.0,4.7,9.1,6.1
20000415,2.5,0.9,3.2,10.0,6.4
20000416,2.5,0.0,6.6,12.4,8.8
20000417,4.0,0.03,3.7,14.0,9.4
20000418,1.6,0.0,5.5,13.9,9.6
20000419,2.5,0.07,4.0,16.9,10.4
20000420,1.1,0.0,5.8,16.5,10.4
20000421,2.2,0.0,4.3,15.7,11.0
20000422,2.7,0.0,5.1,18.1,12.3
