DATE,ROMA_cloud_cover,ROMA_humidity,ROMA_pressure,ROMA_global_radiation,ROMA_sunshine,ROMA_temp_min,ROMA_temp_max,ROMA_temp_mean
20000101,0,0.72,1.0244,0.92,8.4,3.0,8.0,1.6
20000102,2,0.74,1.0263,0.81,6.5,0.0,8.4,4.2
20000103,0,0.77,1.0288,0.89,0.0,11.1,21.1,3.8
20000104,1,0.85,1.0273,0.89,8.2,2.0,10.0,6.0
20000105,2,0.92,1.0238,0.74,7.5,-1.2,11.2,5.0
20000106,0,0.89,1.0246,0.86,8.0,0.0,10.8,5.4
20000107,3,0.89,1.0245,0.87,6.8,2.2,11.2,6.7
20000108,5,0.9,1.0245,0.62,3.0,0.8,11.6,6.2
20000109,7,0.88,1.0236,0.26,0.0,4.2,9.8,7.0
20000110,5,0.85,1.0264,0.81,6.3,3.8,13.2,8.5
20000111,3,0.89,1.0301,0.75,6.2,2.0,10.0,6.0
20000112,7,0.92,1.0281,0.27,1.0,11.1,21.1,5.5
20000113,7,0.93,1.0222,0.25,1.5,11.1,21.1,6.4
20000114,7,0.77,1.0168,0.27,0.2,11.1,21.1,9.4
20000115,7,0.8,1.0213,0.71,4.0,4.6,12.4,8.5
20000116,4,0.86,1.0221,0.88,6.2,1.8,10.8,6.3
20000117,4,0.71,1.0188,0.97,7.4,11.1,21.1,4.5
20000118,3,0.87,1.0088,0.88,6.7,0.8,11.8,6.3
20000119,1,0.55,1.014,1.08,8.6,0.2,11.4,5.8
20000120,1,0.58,1.0267,1.01,8.8,3.0,10.4,2.7
20000121,6,0.92,1.0194,0.33,1.0,11.1,21.1,6.7
20000122,4,0.93,1.0135,0.36,1.2,11.1,21.1,4.9
20000123,6,0.85,0.9999,0.48,3.0,11.1,21.1,5.5
20000124,1,0.7,1.0105,1.07,8.4,1.2,8.0,4.6
20000125,2,0.64,1.022,1.01,7.8,3.8,6.0,0.7
20000126,5,0.82,1.0298,0.56,3.0,4.0,5.8,0.5
20000127,0,0.8,1.0333,1.11,8.9,3.6,8.0,1.2
20000128,4,0.91,1.0274,0.44,1.7,11.1,21.1,1.7
20000129,7,0.95,1.0217,0.47,2.7,11.1,21.1,7.9
20000130,3,0.85,1.0196,1.09,8.4,3.8,14.2,9.0
20000131,3,0.92,1.028,0.51,2.2,1.2,13.4,7.3
20000201,7,0.91,1.0295,0.58,2.7,7.2,13.6,10.4
20000202,6,0.91,1.0241,0.57,1.7,11.1,21.1,9.3
20000203,6,0.95,1.0213,0.24,8.4,11.1,21.1,9.9
20000204,1,0.67,1.0323,1.11,6.8,2.4,13.6,8.0
20000205,1,0.68,1.0347,1.26,9.0,0.8,12.4,6.6
20000206,0,0.86,1.0311,1.23,9.0,0.6,13.2,6.9
20000207,4,0.88,1.0269,0.88,3.4,1.0,12.2,6.6
20000208,6,0.92,1.0232,0.54,1.4,11.1,21.1,8.3
20000209,6,0.9,1.0148,0.62,3.0,11.1,21.1,10.8
20000210,2,0.45,1.017,1.37,8.7,4.0,13.0,8.5
20000211,2,0.74,1.0215,1.26,8.5,0.2,13.8,7.0
20000212,7,0.9,1.0219,0.62,1.8,11.1,21.1,7.1
20000213,2,0.81,1.0214,1.33,8.5,2.8,13.4,8.1
20000214,2,0.79,1.0203,1.29,8.1,2.4,15.6,9.0
20000215,5,0.9,1.0211,0.73,3.0,1.6,12.6,7.1
