DATE,TOURS_wind_speed,TOURS_humidity,TOURS_pressure,TOURS_global_radiation,TOURS_precipitation,TOURS_temp_min,TOURS_temp_max,TOURS_temp_mean
20000101,1.6,0.97,1.0275,0.25,0.04,7.2,9.8,8.5
20000102,2.0,0.99,1.0293,0.17,0.16,6.6,9.2,7.9
20000103,3.4,0.91,1.0267,0.27,0.0,6.6,9.6,8.1
20000104,4.9,0.95,1.0222,0.11,0.44,6.4,10.8,8.6
20000105,3.6,0.95,1.0209,0.39,0.04,6.4,9.5,8.0
20000106,3.4,0.92,1.0209,0.55,0.2,3.5,10.7,7.1
20000107,2.8,0.96,1.0258,0.27,0.0,3.3,8.8,6.0
20000108,3.6,0.97,1.021,0.18,0.14,5.3,11.0,8.2
20000109,3.0,0.91,1.028,0.43,0.02,3.7,7.6,5.6
20000110,1.9,0.94,1.0369,0.58,0.04,-1.5,5.0,1.8
20000111,1.8,0.98,1.0383,0.2,0.0,-2.0,-0.8,-1.4
20000112,2.4,0.95,1.0296,0.19,0.0,-2.7,2.0,-0.4
20000113,3.1,0.92,1.018,0.21,0.08,-0.6,3.6,1.5
20000114,4.9,0.92,1.0188,0.52,0.0,1.0,6.1,3.6
20000115,6.8,0.88,1.0297,0.72,0.0,1.1,5.9,3.5
20000116,6.1,0.83,1.0348,0.65,0.0,0.0,2.7,1.4
20000117,3.6,0.9,1.0359,0.35,0.0,0.8,6.3,3.6
20000118,3.5,0.87,1.0321,0.14,0.0,0.9,7.4,4.2
20000119,4.0,0.81,1.0334,0.36,0.0,2.2,6.0,4.1
20000120,2.0,0.78,1.0346,0.29,0.0,2.2,4.9,3.6
20000121,2.0,0.8,1.0324,0.25,0.0,2.7,5.8,4.2
20000122,4.6,0.87,1.0221,0.31,0.08,0.7,6.4,3.6
20000123,3.5,0.88,1.0223,0.35,0.0,0.1,4.9,2.5
20000124,2.6,0.87,1.0234,0.36,0.0,-0.9,2.9,1.0
20000125,4.9,0.7,1.0272,0.92,0.0,-4.5,0.4,-2.0
